"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,2,70,16.1
0.9,0.9,1.4,2,71,11.1
0.9,0.9,1.4,2,72,7.3
0.9,0.9,1.4,2,73,5.92857142857143
0.9,0.9,1.4,2,74,4.32142857142857
0.9,0.9,1.4,2,75,2.96428571428571
0.9,0.9,1.4,2,76,2.07692307692308
0.9,0.9,1.4,2,77,1.24
0.9,0.9,1.4,2,78,1.21052631578947
0.9,0.9,1.4,2,79,1
0.9,0.9,1.4,2,80,1
0.9,0.9,1.4,2,81,0.9
0.9,0.9,1.4,2,82,1
0.9,0.9,1.4,2,83,1
0.9,0.9,1.4,2,84,1.16666666666667
0.9,0.9,1.4,2,85,0.333333333333333
0.9,0.9,1.4,2,86,0.5
0.9,0.9,1.4,2,87,0
0.9,0.9,1.4,2.5,0,0
0.9,0.9,1.4,2.5,1,7.53333333333333
0.9,0.9,1.4,2.5,2,12.7666666666667
0.9,0.9,1.4,2.5,3,18.2333333333333
0.9,0.9,1.4,2.5,4,23.2
0.9,0.9,1.4,2.5,5,30.4
0.9,0.9,1.4,2.5,6,52.5
0.9,0.9,1.4,2.5,7,85.4
0.9,0.9,1.4,2.5,8,128.6
0.9,0.9,1.4,2.5,9,177.2
0.9,0.9,1.4,2.5,10,232.466666666667
0.9,0.9,1.4,2.5,11,302.266666666667
0.9,0.9,1.4,2.5,12,389.433333333333
0.9,0.9,1.4,2.5,13,492.466666666667
0.9,0.9,1.4,2.5,14,605.466666666667
0.9,0.9,1.4,2.5,15,723
0.9,0.9,1.4,2.5,16,856.833333333333
0.9,0.9,1.4,2.5,17,996.633333333333
0.9,0.9,1.4,2.5,18,1153.13333333333
0.9,0.9,1.4,2.5,19,1326.16666666667
0.9,0.9,1.4,2.5,20,1503.06666666667
0.9,0.9,1.4,2.5,21,1702.63333333333
0.9,0.9,1.4,2.5,22,1901.13333333333
0.9,0.9,1.4,2.5,23,2113.73333333333
0.9,0.9,1.4,2.5,24,2339.96666666667
0.9,0.9,1.4,2.5,25,2568.53333333333
0.9,0.9,1.4,2.5,26,2780.5
0.9,0.9,1.4,2.5,27,2975.06666666667
0.9,0.9,1.4,2.5,28,3152.26666666667
0.9,0.9,1.4,2.5,29,3301
