"BehaviorSpace results (NetLogo 6.2.0)"
"epidemic.nlogo"
"experiment_2"
"02/17/2021 17:10:12:810 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","65","0","65"
"[run number]","density","infectioness","mortality","speed","[step]","infected","cured","dead"
"1","0.9","0.9","1.4","1","108","4","3519","323"
"1","0.9","0.9","1.4","1","109","4","3519","323"
"1","0.9","0.9","1.4","1","110","3","3520","323"
"1","0.9","0.9","1.4","1","111","2","3521","323"
"1","0.9","0.9","1.4","1","112","1","3521","324"
"1","0.9","0.9","1.4","1","113","1","3521","324"
"5","0.9","0.9","1.4","1","0","0","0","0"
"1","0.9","0.9","1.4","1","114","1","3521","324"
"7","0.9","0.9","1.4","1","0","0","0","0"
"6","0.9","0.9","1.4","1","0","0","0","0"
"5","0.9","0.9","1.4","1","1","7","0","0"
"1","0.9","0.9","1.4","1","115","0","3522","324"
"7","0.9","0.9","1.4","1","1","7","0","0"
"6","0.9","0.9","1.4","1","1","5","0","0"
"7","0.9","0.9","1.4","1","2","13","0","0"
"5","0.9","0.9","1.4","1","2","10","0","0"
"7","0.9","0.9","1.4","1","3","17","0","0"
"7","0.9","0.9","1.4","1","4","21","0","0"
"5","0.9","0.9","1.4","1","3","12","0","0"
"6","0.9","0.9","1.4","1","2","5","0","0"
"7","0.9","0.9","1.4","1","5","23","0","0"
"5","0.9","0.9","1.4","1","4","16","0","0"
"7","0.9","0.9","1.4","1","6","33","0","0"
"6","0.9","0.9","1.4","1","3","10","0","0"
"5","0.9","0.9","1.4","1","5","18","0","0"
"7","0.9","0.9","1.4","1","7","47","0","0"
"6","0.9","0.9","1.4","1","4","13","0","0"
"5","0.9","0.9","1.4","1","6","25","0","0"
"7","0.9","0.9","1.4","1","8","69","0","0"
"5","0.9","0.9","1.4","1","7","34","0","0"
"6","0.9","0.9","1.4","1","5","20","0","0"
"7","0.9","0.9","1.4","1","9","92","0","0"
"6","0.9","0.9","1.4","1","6","26","0","0"
"7","0.9","0.9","1.4","1","10","105","0","0"
"6","0.9","0.9","1.4","1","7","33","0","0"
"7","0.9","0.9","1.4","1","11","116","0","0"
"8","0.9","0.9","1.4","1","0","0","0","0"
"7","0.9","0.9","1.4","1","12","136","0","0"
"6","0.9","0.9","1.4","1","8","41","0","0"
"8","0.9","0.9","1.4","1","1","8","0","0"
"5","0.9","0.9","1.4","1","8","40","0","0"
"5","0.9","0.9","1.4","1","9","52","0","0"
"6","0.9","0.9","1.4","1","9","59","0","0"
"8","0.9","0.9","1.4","1","2","10","0","0"
"7","0.9","0.9","1.4","1","13","166","0","0"
"5","0.9","0.9","1.4","1","10","55","0","0"
"6","0.9","0.9","1.4","1","10","65","0","0"
"8","0.9","0.9","1.4","1","3","14","0","0"
"7","0.9","0.9","1.4","1","14","195","0","0"
"5","0.9","0.9","1.4","1","11","73","0","0"
"6","0.9","0.9","1.4","1","11","85","0","0"
"8","0.9","0.9","1.4","1","4","16","0","0"
"6","0.9","0.9","1.4","1","12","94","0","0"
"8","0.9","0.9","1.4","1","5","22","0","0"
"5","0.9","0.9","1.4","1","12","88","0","0"
"7","0.9","0.9","1.4","1","15","236","0","0"
